date,token,saved_at
2022-10-17,rate_limit,429,deferred; slept 15.0s,1775526708
2022-10-18,rate_limit,429,deferred; slept 15.0s,1775526723
2022-10-19,rate_limit,429,deferred; slept 15.0s,1775526739
2022-10-20,rate_limit,429,deferred; slept 15.0s,1775526754
2022-11-28,rate_limit,429,deferred; slept 15.0s,1775526783
2022-11-29,rate_limit,429,deferred; slept 15.0s,1775526798
2022-11-30,rate_limit,429,deferred; slept 15.0s,1775526813
2022-12-01,rate_limit,429,deferred; slept 15.0s,1775526828
2022-12-02,rate_limit,429,deferred; slept 15.0s,1775526844
2022-12-03,rate_limit,429,deferred; slept 15.0s,1775526859
2022-12-04,rate_limit,429,deferred; slept 15.0s,1775526874
2022-12-07,rate_limit,429,deferred; slept 15.0s,1775526890
2022-12-08,rate_limit,429,deferred; slept 15.0s,1775526905
2022-12-09,rate_limit,429,deferred; slept 15.0s,1775526921
2022-12-10,rate_limit,429,deferred; slept 15.0s,1775526936
2022-12-11,rate_limit,429,deferred; slept 15.0s,1775526951
2022-12-12,rate_limit,429,deferred; slept 15.0s,1775526966
2022-12-13,rate_limit,429,deferred; slept 15.0s,1775526982
2023-01-25,rate_limit,429,deferred; slept 15.0s,1775527012
2023-01-26,rate_limit,429,deferred; slept 15.0s,1775527027
2023-01-27,rate_limit,429,deferred; slept 15.0s,1775527042
2023-01-28,rate_limit,429,deferred; slept 15.0s,1775527057
2023-01-29,rate_limit,429,deferred; slept 15.0s,1775527073
2023-01-30,rate_limit,429,deferred; slept 15.0s,1775527088
2023-01-31,rate_limit,429,deferred; slept 15.0s,1775527103
2023-03-13,rate_limit,429,deferred; slept 15.0s,1775527132
2023-03-14,auth,,auth error,1775527153
2023-03-15,rate_limit,429,deferred; slept 15.0s,1775527154
2023-03-16,rate_limit,429,deferred; slept 15.0s,1775527169
2023-03-17,rate_limit,429,deferred; slept 15.0s,1775527184
2023-03-18,rate_limit,429,deferred; slept 15.0s,1775527200
