date,error_type,http_status,message,saved_at
2020-02-04,rate_limit,429,deferred; slept 30.0s,1775344617
2020-02-05,rate_limit,429,deferred; slept 30.0s,1775344648
2020-02-06,rate_limit,429,deferred; slept 30.0s,1775344678
2020-03-19,rate_limit,429,deferred; slept 30.0s,1775344756
2020-03-20,rate_limit,429,deferred; slept 30.0s,1775344786
2020-03-21,rate_limit,429,deferred; slept 30.0s,1775344817
2020-03-22,rate_limit,429,deferred; slept 30.0s,1775344848
2020-05-01,rate_limit,429,deferred; slept 30.0s,1775344923
2020-05-02,rate_limit,429,deferred; slept 30.0s,1775344953
2020-05-03,rate_limit,429,deferred; slept 30.0s,1775344984
2020-05-04,rate_limit,429,deferred; slept 30.0s,1775345015
2020-06-14,rate_limit,429,deferred; slept 30.0s,1775345091
2020-06-15,rate_limit,429,deferred; slept 30.0s,1775345122
2020-06-16,rate_limit,429,deferred; slept 30.0s,1775345152
2020-06-17,rate_limit,429,deferred; slept 30.0s,1775345183
2020-07-27,rate_limit,429,deferred; slept 30.0s,1775345258
2020-07-28,rate_limit,429,deferred; slept 30.0s,1775345289
2020-07-29,rate_limit,429,deferred; slept 30.0s,1775345319
