title,track_id,spotify_url,previous_streams,new_streams,delta,reason,raw
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,1127246250,1127246250,0,same_total,1127246250
Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,https://open.spotify.com/track/4bBDkw2KBMX0tcgAaXC83Q,396321627,396321627,0,same_total,396321627
All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu,380412515,380412515,0,same_total,380412515
Maroon,3eX0NZfLtGzoLUxPNvRfqm,https://open.spotify.com/track/3eX0NZfLtGzoLUxPNvRfqm,608426958,608426958,0,same_total,608426958
False God,5hQSXkFgbxjZo9uCwd11so,https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so,370685220,370685220,0,same_total,370685220
Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,https://open.spotify.com/track/214nt20w5wOxJnY462klLw,555704113,555704113,0,same_total,555704113
The Prophecy,18WFFUIsewmA8g31KAeo3e,https://open.spotify.com/track/18WFFUIsewmA8g31KAeo3e,265185436,265185436,0,same_total,265185436
"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,https://open.spotify.com/track/0CD7DzeCsuPJygddqlUVYa,443127943,443127943,0,same_total,443127943
The Smallest Man Who Ever Lived,4GBbcyrbDzwRtQjrsDRywK,https://open.spotify.com/track/4GBbcyrbDzwRtQjrsDRywK,335785027,335785027,0,same_total,335785027
imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,https://open.spotify.com/track/1kcwpPDQnqEqmezzXdJTCP,251138473,251138473,0,same_total,251138473
Fearless (Taylor's Version),77sMIMlNaSURUAXq5coCxE,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE,457527244,457527244,0,same_total,457527244
Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,https://open.spotify.com/track/3ZVFcD8Wlw9T9klGqmJf9F,326237354,326237354,0,same_total,326237354
The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,276238894,276238894,0,same_total,276238894
But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,https://open.spotify.com/track/5og4Qzt92jJzVDkOtSEilb,371399881,371399881,0,same_total,371399881
